ImageObject,crm:P62_depicts,Neil Armstrong
ImageObject,crm:P62_depicts,Buzz Aldrin
ImageObject,crm:P62_depicts,Michael Collins
ImageObject,crm:P1_is_identified_by,NASM-9A13960
ImageObject,crm:P4_has_time_span,16th July 1968
ImageObject,schema:locationCreated,Pre-flight press conference
ImageObject,schema:contentLocation,NASA Manned Spacecraft Centre
ImageObject,crm:P50_has_current_keeper,National Air and Space Museum
ImageObject,crm:P2_has_type,Digitised photograph
ImageObject,schema:encoding,Analogue photograph
ImageObject,dc:creator,Tim Burgess
ImageObject,dc:subject,Apollo 11 programme
